id,type,closeMatch,exactMatch,mappingRelation,semanticRelation,casNumber,ecNumber,pubchem,source,inScheme,iupacName,altLabel,notation,prefLabel,belongsTo,definition,note
http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_100-00-5,http://www.w3.org/2004/02/skos/core#Concept,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_100-00-5|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/CZGCEKJOLUNIFY-UHFFFAOYSA-N,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_100-00-5|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/CZGCEKJOLUNIFY-UHFFFAOYSA-N,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_100-00-5|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/CZGCEKJOLUNIFY-UHFFFAOYSA-N,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_100-00-5|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/CZGCEKJOLUNIFY-UHFFFAOYSA-N,null,null,null,null,null,null,null,null,null,null,null,null
http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_100-02-7,http://www.w3.org/2004/02/skos/core#Concept,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_100-02-7|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/BTJIUGUIPKRLHP-UHFFFAOYSA-N,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_100-02-7|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/BTJIUGUIPKRLHP-UHFFFAOYSA-N,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_100-02-7|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/BTJIUGUIPKRLHP-UHFFFAOYSA-N,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_100-02-7|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/BTJIUGUIPKRLHP-UHFFFAOYSA-N,null,null,null,null,null,null,null,null,null,null,null,null
http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_100-41-4,http://www.w3.org/2004/02/skos/core#Concept,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_100-41-4|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/YNQLUTRBYVCPMQ-UHFFFAOYSA-N,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_100-41-4|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/YNQLUTRBYVCPMQ-UHFFFAOYSA-N,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_100-41-4|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/YNQLUTRBYVCPMQ-UHFFFAOYSA-N,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_100-41-4|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/YNQLUTRBYVCPMQ-UHFFFAOYSA-N,null,null,null,null,null,null,null,null,null,null,null,null
http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_100-42-5,http://www.w3.org/2004/02/skos/core#Concept,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_100-42-5|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/PPBRXRYQALVLMV-UHFFFAOYSA-N,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_100-42-5|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/PPBRXRYQALVLMV-UHFFFAOYSA-N,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_100-42-5|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/PPBRXRYQALVLMV-UHFFFAOYSA-N,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_100-42-5|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/PPBRXRYQALVLMV-UHFFFAOYSA-N,null,null,null,null,null,null,null,null,null,null,null,null
http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_100-44-7,http://www.w3.org/2004/02/skos/core#Concept,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_100-44-7|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/KCXMKQUNVWSEMD-UHFFFAOYSA-N,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_100-44-7|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/KCXMKQUNVWSEMD-UHFFFAOYSA-N,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_100-44-7|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/KCXMKQUNVWSEMD-UHFFFAOYSA-N,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_100-44-7|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/KCXMKQUNVWSEMD-UHFFFAOYSA-N,null,null,null,null,null,null,null,null,null,null,null,null
http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_1002-53-5,http://www.w3.org/2004/02/skos/core#Concept,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_1002-53-5|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/AYOHIQLKSOJJQH-UHFFFAOYSA-N,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_1002-53-5|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/AYOHIQLKSOJJQH-UHFFFAOYSA-N,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_1002-53-5|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/AYOHIQLKSOJJQH-UHFFFAOYSA-N,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_1002-53-5|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/AYOHIQLKSOJJQH-UHFFFAOYSA-N,null,null,null,null,null,null,null,null,null,null,null,null
http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_10028-17-8,http://www.w3.org/2004/02/skos/core#Concept,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_10028-17-8|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/UFHFLCQGNIYNRP-JMRXTUGHSA-N,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_10028-17-8|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/UFHFLCQGNIYNRP-JMRXTUGHSA-N,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_10028-17-8|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/UFHFLCQGNIYNRP-JMRXTUGHSA-N,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_10028-17-8|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/UFHFLCQGNIYNRP-JMRXTUGHSA-N,null,null,null,null,null,null,null,null,null,null,null,null
http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_10061-01-5,http://www.w3.org/2004/02/skos/core#Concept,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_10061-01-5|http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_542-75-6|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/UOORRWUZONOOLO-UPHRSURJSA-N,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_10061-01-5|http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_542-75-6|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/UOORRWUZONOOLO-UPHRSURJSA-N,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_10061-01-5|http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_542-75-6|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/UOORRWUZONOOLO-UPHRSURJSA-N,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_10061-01-5|http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_542-75-6|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/UOORRWUZONOOLO-UPHRSURJSA-N,null,null,null,null,null,null,null,null,null,null,null,null
http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_10061-02-6,http://www.w3.org/2004/02/skos/core#Concept,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_10061-02-6|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/UOORRWUZONOOLO-OWOJBTEDSA-N,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_10061-02-6|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/UOORRWUZONOOLO-OWOJBTEDSA-N,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_10061-02-6|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/UOORRWUZONOOLO-OWOJBTEDSA-N,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_10061-02-6|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/UOORRWUZONOOLO-OWOJBTEDSA-N,null,null,null,null,null,null,null,null,null,null,null,null
http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_1007-28-9,http://www.w3.org/2004/02/skos/core#Concept,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_1007-28-9|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/IVENSCMCQBJAKW-UHFFFAOYSA-N,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_1007-28-9|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/IVENSCMCQBJAKW-UHFFFAOYSA-N,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_1007-28-9|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/IVENSCMCQBJAKW-UHFFFAOYSA-N,http://dd.eionet.europa.eu/vocabulary/wise/ObservedProperty/CAS_1007-28-9|https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/IVENSCMCQBJAKW-UHFFFAOYSA-N,null,null,null,null,null,null,null,null,null,null,null,null
